客户ID,注册时长(月),使用频率,消费金额,最后一次使用(天前),客服投诉次数,是否流失
C0001,11,20,6096.46,98,3,0
C0002,22,23,4752.35,351,10,1
C0003,2,6,7015.28,131,0,0
C0004,40,8,5774.5,206,10,1
C0005,28,7,7152.98,271,4,0
C0006,19,18,2895.68,70,10,0
C0007,38,18,2363.56,202,10,1
C0008,23,5,7115.62,309,1,0
C0009,36,14,6632.06,208,2,0
C0010,10,16,2526.84,116,3,0
C0011,58,1,9393.81,323,2,1
C0012,4,28,1088.39,218,3,0
C0013,50,2,1211.07,354,2,1
C0014,6,12,4013.66,101,4,0
C0015,22,6,9724.31,213,3,0
C0016,52,28,5305.38,215,2,0
C0017,13,12,4620.73,146,4,0
C0018,24,26,7180.19,335,4,0
C0019,56,10,9343.45,44,1,0
C0020,22,9,8899.62,136,4,0
C0021,22,16,6433.37,86,1,0
C0022,35,23,3027.86,321,4,0
C0023,33,4,8997.35,39,2,0
C0024,8,30,4108.31,252,10,1
C0025,40,6,9025.65,339,6,1
C0026,19,6,5887.03,257,7,1
C0027,12,9,4437.22,105,5,0
C0028,59,20,6202.3,254,5,0
C0029,37,26,1226.64,123,0,0
C0030,21,26,1236.33,189,10,1
C0031,5,26,5313.87,143,7,1
C0032,57,19,1815.35,352,3,1
C0033,30,27,8892.07,88,4,0
C0034,13,3,305.83,258,1,1
C0035,9,9,4074.79,154,3,0
C0036,35,21,6821.52,197,2,0
C0037,48,2,9878.47,326,1,1
C0038,59,9,6337.45,7,6,0
C0039,48,19,3923.1,14,6,0
C0040,39,21,4161.54,229,4,0
C0041,57,26,1513.0,33,8,0
C0042,39,23,6306.82,198,5,1
C0043,5,28,7738.8,225,1,0
C0044,1,4,1119.44,85,5,1
C0045,47,7,859.9,23,0,0
C0046,49,2,1913.1,247,2,1
C0047,36,30,8122.98,278,6,1
C0048,51,28,5138.8,117,10,1
C0049,9,4,9258.76,31,8,1
C0050,26,29,845.49,360,9,1
C0051,36,10,1453.05,19,7,0
C0052,49,13,6197.97,326,7,1
C0053,33,29,2649.62,17,0,0
C0054,19,3,2818.73,139,2,1
C0055,17,13,187.71,244,3,0
C0056,11,8,7070.29,274,6,1
C0057,5,23,9798.57,297,5,0
C0058,46,30,8438.42,307,9,1
C0059,18,15,9754.1,338,7,1
C0060,45,14,2172.73,251,9,1
C0061,33,6,5950.68,15,5,0
C0062,31,19,4718.83,308,10,1
C0063,35,28,8326.57,200,7,1
C0064,28,1,4717.01,321,1,1
C0065,3,12,5886.97,310,4,0
C0066,35,4,3198.77,144,3,1
C0067,37,2,9753.65,175,6,1
C0068,48,1,8752.0,272,5,1
C0069,50,18,6345.1,317,10,1
C0070,25,14,7181.04,317,6,1
C0071,14,12,3107.18,240,6,1
C0072,2,30,4887.39,42,2,0
C0073,6,17,2945.09,200,2,0
C0074,25,10,8392.68,147,1,0
C0075,57,26,1350.02,143,5,0
C0076,4,17,3522.95,311,10,1
C0077,15,11,4082.53,124,5,0
C0078,18,21,2479.51,233,9,1
C0079,22,2,8238.42,214,10,1
C0080,60,12,7745.74,166,7,1
C0081,58,8,4884.12,130,8,1
C0082,52,24,7999.08,181,2,0
