客户ID,年收入(万),消费评分(1-100),年龄,性别,城市等级
K0001,18.6,30,36,男,二线城市
K0002,35.2,54,59,女,二线城市
K0003,54.1,82,50,男,三线城市
K0004,22.5,22,28,女,二线城市
K0005,58.0,75,53,男,二线城市
K0006,19.6,22,56,女,二线城市
K0007,22.7,21,22,男,三线城市
K0008,23.1,58,50,女,四线及以下
K0009,43.2,73,33,男,二线城市
K0010,74.1,100,55,女,二线城市
K0011,11.8,29,29,女,三线城市
K0012,45.0,94,50,女,四线及以下
K0013,20.1,33,61,女,四线及以下
K0014,8.9,15,52,男,一线城市
K0015,76.8,90,28,女,三线城市
K0016,27.0,12,25,女,一线城市
K0017,17.8,3,23,男,一线城市
K0018,22.2,56,25,女,三线城市
K0019,73.5,90,47,女,一线城市
K0020,32.0,38,31,男,一线城市
K0021,16.9,4,62,女,一线城市
K0022,8.0,28,70,女,四线及以下
K0023,13.9,19,53,女,一线城市
K0024,51.3,87,60,女,四线及以下
K0025,13.3,35,39,女,一线城市
K0026,44.8,93,35,男,四线及以下
K0027,52.7,84,19,男,四线及以下
K0028,12.4,43,58,女,三线城市
K0029,54.4,89,22,女,二线城市
K0030,22.2,35,33,男,一线城市
K0031,52.8,89,59,男,一线城市
K0032,24.1,6,38,男,四线及以下
K0033,20.6,23,50,男,一线城市
K0034,11.6,27,30,女,四线及以下
K0035,80.7,100,70,女,三线城市
K0036,17.5,44,27,男,一线城市
K0037,84.2,92,27,男,一线城市
K0038,80.7,98,37,男,四线及以下
K0039,10.1,15,18,男,一线城市
K0040,32.0,38,39,女,二线城市
K0041,51.7,87,27,男,一线城市
K0042,9.3,16,39,女,一线城市
K0043,10.0,23,61,女,二线城市
K0044,28.3,57,27,女,四线及以下
K0045,75.8,100,29,男,一线城市
K0046,73.7,87,64,男,一线城市
K0047,27.9,30,38,女,三线城市
K0048,16.9,23,32,女,四线及以下
K0049,13.7,17,21,男,一线城市
K0050,84.7,91,69,女,二线城市
K0051,18.6,38,58,男,二线城市
K0052,22.8,10,59,女,四线及以下
K0053,78.2,82,32,女,二线城市
K0054,14.1,6,35,女,二线城市
K0055,18.1,30,23,女,二线城市
K0056,74.1,100,18,女,一线城市
K0057,31.7,46,36,男,三线城市
K0058,26.0,24,45,男,一线城市
K0059,9.4,23,27,女,四线及以下
K0060,22.4,27,70,男,二线城市
K0061,32.2,58,52,女,二线城市
K0062,43.4,71,47,女,二线城市
K0063,78.3,100,56,男,三线城市
K0064,47.7,65,50,女,二线城市
K0065,7.2,42,35,女,四线及以下
K0066,16.3,1,46,女,二线城市
K0067,16.7,45,48,女,一线城市
K0068,29.5,51,51,男,一线城市
K0069,24.4,63,57,女,一线城市
K0070,12.8,26,44,男,三线城市
K0071,44.3,76,29,男,二线城市
K0072,13.8,25,49,男,二线城市
K0073,20.0,22,31,男,三线城市
K0074,12.3,29,67,男,一线城市
K0075,37.9,60,21,女,三线城市
K0076,76.1,100,69,男,一线城市
K0077,44.8,73,65,男,四线及以下
K0078,16.0,33,53,男,三线城市
K0079,49.3,77,55,男,二线城市
K0080,18.8,11,53,女,四线及以下
K0081,14.7,19,25,女,四线及以下
K0082,26.9,21,55,女,一线城市
K0083,45.6,73,35,男,一线城市
K0084,19.5,27,21,女,二线城市
K0085,17.8,1,48,男,一线城市
K0086,19.1,9,21,女,二线城市
K0087,31.1,50,31,女,一线城市
K0088,19.5,15,55,男,二线城市
K0089,15.3,37,50,男,三线城市
K0090,13.1,8,62,女,二线城市
K0091,78.0,100,63,女,二线城市
K0092,13.1,17,54,男,一线城市
K0093,13.9,22,18,女,二线城市
K0094,34.3,51,55,女,一线城市
K0095,52.3,67,57,女,二线城市
K0096,56.4,81,43,男,四线及以下
K0097,14.3,38,49,女,三线城市
K0098,54.4,65,49,女,四线及以下
K0099,22.5,17,19,女,四线及以下
K0100,86.9,100,54,男,一线城市
K0101,20.0,35,30,女,四线及以下
K0102,19.4,2,55,男,二线城市
K0103,15.0,3,49,男,三线城市
K0104,25.5,12,42,女,一线城市
K0105,57.2,80,55,女,二线城市
K0106,21.3,12,56,女,一线城市
K0107,32.7,58,41,男,三线城市
K0108,52.1,85,60,男,三线城市
K0109,47.3,65,37,男,一线城市
K0110,53.5,88,33,男,四线及以下
K0111,77.6,97,55,女,一线城市
K0112,28.4,63,70,女,一线城市
K0113,31.3,61,23,女,四线及以下
K0114,22.2,6,29,女,二线城市
K0115,7.3,22,60,女,三线城市
K0116,74.1,83,39,女,一线城市
K0117,52.6,68,55,男,四线及以下
K0118,25.4,57,19,男,四线及以下
K0119,33.4,35,48,女,一线城市
K0120,26.4,36,37,女,一线城市
K0121,48.3,86,26,男,四线及以下
K0122,29.7,63,56,女,三线城市
K0123,19.7,39,25,男,四线及以下
K0124,74.9,100,67,男,四线及以下
K0125,76.0,96,59,女,三线城市
K0126,87.9,81,19,男,二线城市
K0127,17.5,22,49,男,二线城市
K0128,51.4,95,30,女,三线城市
K0129,26.3,50,42,男,四线及以下
K0130,26.2,16,49,女,四线及以下
K0131,21.7,28,44,男,三线城市
K0132,22.7,62,51,女,四线及以下
K0133,37.0,50,46,女,三线城市
K0134,12.5,24,66,女,二线城市
K0135,26.8,44,63,男,一线城市
K0136,9.8,15,29,男,三线城市
K0137,35.3,43,27,男,四线及以下
K0138,50.0,67,39,女,四线及以下
K0139,22.9,47,38,男,二线城市
K0140,86.1,99,26,女,一线城市
K0141,78.0,81,59,男,四线及以下
K0142,72.1,87,31,男,四线及以下
K0143,24.8,29,33,男,二线城市
K0144,19.7,21,57,男,四线及以下
K0145,25.2,45,29,男,三线城市
K0146,10.0,34,67,男,四线及以下
K0147,22.6,15,19,男,二线城市
K0148,24.5,27,46,男,三线城市
K0149,23.1,44,40,女,一线城市
K0150,75.3,96,70,男,二线城市
K0151,21.8,19,46,男,一线城市
K0152,49.4,73,62,男,一线城市
K0153,19.1,15,57,男,四线及以下
K0154,85.1,100,18,男,一线城市
K0155,30.1,44,48,男,三线城市
K0156,30.8,44,20,男,一线城市
K0157,55.1,74,19,男,二线城市
K0158,51.8,78,55,男,一线城市
K0159,72.6,90,31,男,四线及以下
K0160,33.7,49,23,女,四线及以下
K0161,26.1,1,25,女,四线及以下
K0162,74.8,81,57,女,二线城市
K0163,82.8,91,33,女,三线城市
K0164,81.9,93,53,男,四线及以下
K0165,18.3,34,27,男,三线城市
K0166,14.2,35,41,男,一线城市
K0167,25.6,36,19,男,四线及以下
K0168,78.3,81,29,女,三线城市
K0169,10.3,42,35,女,一线城市
K0170,22.6,31,59,女,二线城市
K0171,22.1,22,45,女,二线城市
K0172,33.1,36,61,男,一线城市
K0173,16.6,11,54,女,三线城市
K0174,11.0,18,28,男,四线及以下
K0175,22.4,52,22,女,二线城市
K0176,50.0,67,19,女,一线城市
K0177,34.3,59,28,女,四线及以下
K0178,87.4,85,45,男,三线城市
K0179,23.4,24,33,女,一线城市
K0180,37.5,41,40,女,二线城市
K0181,45.1,81,27,男,一线城市
K0182,17.3,12,28,男,四线及以下
K0183,25.8,37,44,男,二线城市
K0184,54.8,69,37,女,三线城市
K0185,27.4,47,50,女,一线城市
K0186,20.6,12,62,男,三线城市
K0187,84.6,100,55,男,一线城市
K0188,46.9,72,47,男,二线城市
K0189,13.5,14,23,女,三线城市
K0190,23.8,47,57,女,一线城市
K0191,19.5,31,34,男,一线城市
K0192,72.5,85,58,男,一线城市
K0193,24.3,38,66,男,三线城市
K0194,27.7,25,37,女,二线城市
K0195,30.4,60,37,女,二线城市
K0196,81.1,96,18,男,二线城市
K0197,57.7,83,24,男,三线城市
K0198,83.3,97,67,男,二线城市
K0199,83.1,85,69,男,三线城市
K0200,12.1,30,19,女,二线城市
K0201,8.0,23,43,男,三线城市
K0202,20.6,18,28,女,一线城市
K0203,7.4,24,36,女,四线及以下
K0204,18.2,24,54,女,二线城市
K0205,42.2,66,23,男,四线及以下
K0206,13.6,19,37,女,四线及以下
K0207,55.0,87,62,女,二线城市
K0208,27.1,59,50,女,二线城市
K0209,24.9,11,18,女,三线城市
K0210,26.5,38,18,女,一线城市
K0211,46.9,90,57,男,二线城市
K0212,26.9,21,30,女,四线及以下
K0213,74.7,94,28,女,三线城市
K0214,15.6,8,68,女,三线城市
K0215,75.0,86,37,女,三线城市
K0216,7.8,22,61,男,四线及以下
K0217,31.5,47,61,女,二线城市
K0218,18.3,2,54,男,三线城市
K0219,12.4,1,44,男,一线城市
K0220,22.2,27,32,女,一线城市
K0221,21.6,41,32,男,一线城市
K0222,22.8,38,68,男,二线城市
K0223,28.2,42,33,女,三线城市
K0224,18.5,13,51,女,四线及以下
K0225,37.5,43,65,男,三线城市
K0226,36.4,60,69,男,二线城市
K0227,36.3,37,56,男,三线城市
K0228,33.2,59,60,女,一线城市
K0229,48.7,66,35,男,四线及以下
K0230,53.2,73,34,女,三线城市
K0231,44.2,67,63,男,一线城市
K0232,79.1,99,57,男,三线城市
K0233,32.1,36,32,男,四线及以下
K0234,20.8,18,58,女,一线城市
K0235,11.1,36,37,女,四线及以下
K0236,54.2,93,69,女,二线城市
K0237,21.2,18,27,男,三线城市
K0238,22.9,45,37,女,四线及以下
K0239,12.7,20,60,女,四线及以下
K0240,27.2,36,39,女,一线城市
K0241,75.9,96,56,男,四线及以下
K0242,42.6,65,44,男,一线城市
K0243,45.0,85,19,男,三线城市
K0244,18.3,45,63,女,三线城市
K0245,26.8,20,66,男,四线及以下
K0246,25.4,17,63,男,二线城市
K0247,36.9,63,33,男,四线及以下
K0248,54.4,86,65,男,二线城市
K0249,18.0,41,26,男,四线及以下
K0250,16.8,37,36,女,三线城市
K0251,73.1,82,31,女,一线城市
K0252,10.0,34,19,女,一线城市
K0253,81.1,100,63,女,二线城市
K0254,87.9,81,44,女,一线城市
K0255,87.7,100,55,女,四线及以下
K0256,10.0,37,51,男,二线城市
K0257,84.9,95,48,男,二线城市
K0258,80.6,90,63,女,一线城市
K0259,19.6,38,26,女,一线城市
K0260,85.0,100,53,女,二线城市
K0261,23.0,45,40,女,二线城市
K0262,48.6,77,63,女,四线及以下
K0263,22.6,1,38,女,一线城市
K0264,13.8,38,42,男,一线城市
K0265,45.3,65,58,女,二线城市
K0266,44.2,95,56,女,四线及以下
K0267,27.1,14,44,女,一线城市
K0268,22.8,32,29,男,四线及以下
K0269,11.2,39,33,女,四线及以下
K0270,52.7,74,54,女,一线城市
K0271,30.8,44,24,男,二线城市
K0272,21.0,17,41,女,四线及以下
K0273,72.9,97,32,男,四线及以下
K0274,16.9,29,19,男,三线城市
K0275,48.0,86,63,女,二线城市
K0276,22.4,65,30,男,二线城市
K0277,25.1,59,58,男,三线城市
K0278,42.8,76,46,男,二线城市
K0279,34.2,43,34,女,二线城市
K0280,80.8,84,68,男,四线及以下
K0281,57.8,91,68,女,二线城市
K0282,56.6,75,60,女,四线及以下
K0283,17.8,28,21,女,四线及以下
K0284,76.3,82,27,女,二线城市
K0285,53.7,77,59,男,三线城市
K0286,17.2,18,47,女,一线城市
K0287,55.4,84,51,男,一线城市
K0288,55.5,72,27,女,四线及以下
K0289,28.5,48,32,男,一线城市
K0290,85.4,99,51,男,一线城市
K0291,16.8,34,29,女,二线城市
K0292,24.9,45,57,女,二线城市
K0293,47.1,67,45,男,一线城市
K0294,77.5,90,59,男,二线城市
K0295,14.4,24,28,男,四线及以下
K0296,31.8,41,42,女,二线城市
K0297,53.5,84,57,女,一线城市
K0298,44.4,66,64,女,二线城市
K0299,44.3,91,61,女,一线城市
K0300,34.8,51,41,男,三线城市
