月份,区域,产品,销售额,订单数,利润,增长率
2024-01,华北,A系列,397297.7,1128,41374.42,-0.0173
2024-01,华北,B系列,445883.87,223,80063.6,-0.0089
2024-01,华北,C系列,423019.32,1051,120356.81,-0.1239
2024-01,华北,D系列,94965.64,1011,11529.16,0.0428
2024-01,华东,A系列,97566.33,1256,20114.3,-0.1431
2024-01,华东,B系列,492850.22,1450,135245.68,0.3995
2024-01,华东,C系列,455135.4,577,128608.46,-0.1228
2024-01,华东,D系列,200221.61,956,39403.38,0.2969
2024-01,华南,A系列,253219.8,248,25954.78,0.2589
2024-01,华南,B系列,471197.74,1193,85795.72,0.1869
2024-01,华南,C系列,173341.63,1611,46159.77,-0.1395
2024-01,华南,D系列,262696.68,581,44654.12,0.1641
2024-01,华中,A系列,189887.87,1224,40608.34,-0.0851
2024-01,华中,B系列,259976.1,480,43821.16,-0.0095
2024-01,华中,C系列,249916.05,877,51900.99,0.3008
2024-01,华中,D系列,338035.65,1106,82308.25,0.2867
2024-01,西南,A系列,149495.18,1799,32067.95,-0.1469
2024-01,西南,B系列,331919.79,890,35449.47,0.2351
2024-01,西南,C系列,488374.04,1432,73173.5,0.0883
2024-01,西南,D系列,422920.0,304,64710.01,0.2347
2024-01,西北,A系列,446830.32,822,108354.84,0.3797
2024-01,西北,B系列,355498.38,1730,81486.8,-0.154
2024-01,西北,C系列,339860.17,1672,40619.81,0.166
2024-01,西北,D系列,220990.62,1466,49995.6,-0.0665
2024-01,东北,A系列,150618.52,1432,24308.53,0.3465
2024-01,东北,B系列,117926.25,1569,25731.77,-0.1548
2024-01,东北,C系列,91159.19,1407,26700.55,0.1652
2024-01,东北,D系列,367316.11,1506,87033.71,0.3151
2024-02,华北,A系列,153546.77,1692,30866.73,-0.0253
2024-02,华北,B系列,227095.82,1992,57081.1,0.21
2024-02,华北,C系列,310849.03,1960,87131.96,-0.1896
2024-02,华北,D系列,133332.84,1605,33705.03,-0.1477
2024-02,华东,A系列,373837.79,1593,67936.04,-0.1679
2024-02,华东,B系列,422752.73,1960,58594.64,0.3822
2024-02,华东,C系列,309059.54,218,52624.13,-0.1497
2024-02,华东,D系列,284888.89,638,81538.48,-0.0355
2024-02,华南,A系列,305341.87,934,45781.65,0.0611
2024-02,华南,B系列,77556.53,1169,15492.3,0.1693
2024-02,华南,C系列,463612.39,1986,69433.15,0.0923
2024-02,华南,D系列,182657.03,1536,27785.39,0.2223
2024-02,华中,A系列,258694.15,395,30750.37,0.1221
2024-02,华中,B系列,385335.26,594,40120.38,0.0442
2024-02,华中,C系列,274899.29,367,60626.59,-0.0794
2024-02,华中,D系列,225877.71,583,55537.36,0.1135
2024-02,西南,A系列,60881.43,1572,17654.04,-0.0967
2024-02,西南,B系列,431840.97,313,79512.7,-0.0987
