客户ID,最近一次消费(天前),消费频次,消费总金额,注册时长(月),会员等级
C0001,200,23,14556.75,23,银卡
C0002,294,46,10918.15,42,普通
C0003,322,63,5391.31,40,普通
C0004,33,57,108.6,1,钻石
C0005,85,10,10296.72,7,普通
C0006,283,10,12928.33,19,金卡
C0007,51,30,15765.33,20,金卡
C0008,342,62,7762.75,4,银卡
C0009,131,72,4107.74,32,金卡
C0010,148,4,14732.08,9,银卡
C0011,65,69,8131.11,43,银卡
C0012,124,26,15424.48,2,金卡
C0013,218,45,19386.43,48,普通
C0014,331,75,7720.19,12,普通
C0015,97,54,7573.38,30,普通
C0016,194,54,8306.57,5,普通
C0017,161,51,18309.65,18,普通
C0018,17,18,15879.0,9,普通
C0019,358,29,5409.86,38,银卡
C0020,38,27,14517.7,28,银卡
C0021,216,63,7193.76,48,普通
C0022,243,58,12304.65,21,普通
C0023,156,36,16294.34,8,普通
C0024,14,79,3325.88,16,金卡
C0025,180,9,9185.53,26,钻石
C0026,223,40,2845.24,25,金卡
C0027,57,71,7705.42,32,金卡
C0028,195,28,1376.36,38,金卡
C0029,183,49,17877.88,41,普通
C0030,299,21,12805.21,32,银卡
C0031,193,34,16247.26,20,银卡
C0032,14,28,18549.52,36,普通
C0033,92,43,6898.34,47,银卡
C0034,107,35,15600.78,44,普通
C0035,282,52,9648.17,12,银卡
C0036,275,30,11474.63,20,普通
C0037,124,30,1368.79,24,普通
C0038,357,11,7507.14,31,普通
C0039,102,20,7184.08,8,普通
C0040,302,59,10543.36,30,银卡
C0041,163,28,1317.38,45,普通
C0042,8,75,6478.5,16,普通
C0043,334,56,8527.27,33,普通
C0044,358,68,16097.6,33,普通
C0045,52,69,9634.44,16,普通
C0046,106,75,1731.94,6,钻石
C0047,129,30,8691.03,35,普通
C0048,324,14,18908.51,1,普通
C0049,281,10,10998.41,7,普通
C0050,344,52,12635.69,21,普通
C0051,66,43,15231.67,4,普通
C0052,281,1,2898.62,28,金卡
C0053,337,26,4925.6,47,普通
C0054,135,23,14149.24,13,普通
C0055,18,7,3734.49,4,普通
C0056,258,56,17491.86,42,银卡
C0057,172,3,13521.84,9,普通
C0058,49,13,5821.06,10,普通
C0059,210,62,781.53,21,普通
C0060,164,76,11349.48,2,普通
C0061,206,55,17862.09,14,金卡
C0062,266,19,2618.06,9,普通
C0063,17,41,4680.54,38,普通
C0064,341,23,991.47,25,普通
C0065,15,13,19219.56,48,银卡
C0066,24,10,2321.74,14,普通
C0067,158,27,4511.36,7,普通
C0068,329,23,7304.16,34,普通
C0069,60,28,3208.56,47,银卡
C0070,172,53,13601.53,22,普通
C0071,156,24,10036.92,20,金卡
C0072,153,79,8882.23,1,普通
C0073,299,66,8629.47,13,普通
C0074,28,75,19017.57,16,普通
C0075,233,61,12520.79,16,普通
C0076,294,71,12757.68,24,普通
C0077,242,30,7156.42,6,普通
C0078,91,50,19637.64,26,普通
C0079,171,73,16948.9,18,普通
C0080,200,21,7426.15,16,金卡
C0081,262,8,12410.79,27,普通
C0082,54,35,9481.01,24,普通
C0083,208,75,13974.49,11,普通
C0084,227,35,18479.89,26,普通
C0085,163,30,6794.37,36,银卡
C0086,353,53,2589.27,41,金卡
C0087,296,71,17770.12,48,普通
C0088,149,26,17554.72,46,金卡
C0089,199,64,18479.39,10,普通
C0090,174,61,1681.83,42,普通
C0091,331,54,19020.5,48,银卡
C0092,115,42,5465.5,43,普通
C0093,281,43,10029.22,28,普通
C0094,296,4,8288.53,7,普通
C0095,276,19,5955.9,31,银卡
C0096,122,79,12187.95,35,金卡
C0097,40,54,1968.82,15,银卡
C0098,257,11,2075.05,33,银卡
C0099,356,60,1813.27,16,普通
C0100,107,61,2659.43,4,普通
C0101,86,1,18862.55,18,银卡
C0102,217,62,19180.57,46,普通
C0103,72,50,14651.71,37,普通
C0104,68,16,19581.96,26,金卡
C0105,304,39,15670.79,29,普通
C0106,166,36,16774.66,48,银卡
C0107,325,22,7802.58,45,普通
C0108,208,27,18347.36,13,银卡
C0109,236,18,14973.62,38,金卡
C0110,302,39,276.4,26,金卡
C0111,135,65,16937.29,6,钻石
C0112,57,24,12858.52,45,钻石
C0113,150,73,9230.28,40,普通
C0114,345,4,8263.29,36,普通
C0115,169,29,12021.64,3,普通
C0116,200,14,3437.67,37,普通
C0117,206,32,11375.35,18,银卡
C0118,18,11,3934.01,15,普通
C0119,140,28,9550.95,43,普通
C0120,247,27,19142.1,18,银卡
C0121,52,37,959.53,37,银卡
C0122,354,34,1817.79,4,钻石
C0123,223,64,12029.88,3,普通
C0124,129,70,1868.26,26,普通
C0125,145,75,13106.33,38,银卡
C0126,43,4,998.83,20,银卡
C0127,83,5,3052.92,36,金卡
C0128,214,54,18520.3,26,钻石
C0129,17,10,17529.61,39,普通
C0130,150,19,2483.78,13,普通
C0131,169,39,11092.67,10,钻石
C0132,108,41,3989.76,28,普通
C0133,245,73,19688.18,7,普通
C0134,303,13,4147.91,35,普通
C0135,41,42,15754.73,7,金卡
C0136,45,64,2364.32,9,金卡
C0137,51,75,13652.81,2,钻石
C0138,156,60,13396.69,1,普通
C0139,267,72,16069.94,6,普通
C0140,62,17,16815.64,30,金卡
C0141,154,41,2777.51,32,钻石
C0142,39,78,4301.88,28,普通
C0143,262,48,9842.65,19,金卡
C0144,97,78,1481.36,36,金卡
C0145,41,5,18363.52,32,普通
C0146,57,49,2486.18,37,钻石
C0147,87,32,12846.24,8,普通
C0148,25,10,14214.23,6,钻石
C0149,112,43,1075.41,39,银卡
C0150,339,24,7801.29,27,银卡
C0151,177,44,3386.05,21,普通
C0152,336,64,14804.89,5,普通
C0153,325,47,5695.76,47,金卡
C0154,363,60,11695.8,39,银卡
C0155,142,67,10537.95,23,普通
C0156,310,37,10158.34,39,普通
C0157,30,4,7416.42,38,钻石
C0158,359,44,8682.08,23,钻石
C0159,206,27,7344.13,33,普通
C0160,75,24,8992.68,47,普通
C0161,80,50,8113.94,42,普通
C0162,188,4,5216.86,1,普通
C0163,340,6,1705.91,42,钻石
C0164,57,29,151.62,25,银卡
C0165,216,24,5250.51,45,银卡
C0166,53,1,118.44,41,钻石
C0167,211,53,10852.83,4,银卡
C0168,52,63,2754.73,10,普通
C0169,209,22,3883.87,47,普通
C0170,180,21,2843.14,10,银卡
C0171,93,23,11143.52,19,普通
C0172,143,61,6568.51,10,银卡
C0173,184,78,11841.55,20,普通
C0174,140,12,828.32,36,普通
C0175,310,15,4602.05,7,银卡
C0176,127,45,13356.93,21,普通
C0177,227,19,3336.4,42,银卡
C0178,68,1,15841.34,28,普通
C0179,328,47,19132.23,36,钻石
C0180,307,60,10507.61,2,普通
