订单编号,下单时间,客户ID,商品名称,类别,数量,单价,金额,支付方式,收货城市
ORD000001,2024-03-03,C1057,口红,美妆,1,1488.27,1488.27,支付宝,上海
ORD000002,2024-02-29,C1129,台灯,家居,1,205.52,205.52,微信,西安
ORD000003,2024-01-02,C1194,连衣裙,服装,5,570.82,2854.1,支付宝,武汉
ORD000004,2024-04-01,C1088,Python数据分析,图书,1,772.26,772.26,银行卡,北京
ORD000005,2024-06-09,C1158,台灯,家居,5,600.49,3002.45,银行卡,重庆
ORD000006,2024-04-07,C1071,Python数据分析,图书,2,1735.64,3471.28,货到付款,成都
ORD000007,2024-05-16,C1186,口红,美妆,5,1277.26,6386.3,支付宝,广州
ORD000008,2024-01-15,C1058,洗面奶,美妆,2,1375.54,2751.08,微信,成都
ORD000009,2024-04-11,C1164,巧克力,食品,2,1317.77,2635.54,货到付款,广州
ORD000010,2024-04-12,C1092,SQL必知必会,图书,301,1797.69,541104.69,支付宝,广州
ORD000011,2024-04-18,C1152,MacBook Air,电子产品,2,1588.32,3176.64,微信,武汉
ORD000012,2024-05-17,C1192,坚果礼盒,食品,1,1369.79,1369.79,银行卡,成都
ORD000013,2024-05-09,C1027,精华液,美妆,5,1528.69,7643.45,银行卡,西安
ORD000014,2024-05-05,C1004,茶叶,食品,1,1205.91,1205.91,微信,成都
ORD000015,2024-01-22,C1187,MacBook Air,电子产品,5,1894.96,9474.8,货到付款,上海
ORD000016,2024-05-15,C1155,香水,美妆,5,346.95,1734.75,货到付款,深圳
ORD000017,2024-06-15,C1095,精华液,美妆,4,1990.4,7961.6,货到付款,西安
ORD000018,2024-02-26,C1001,小米手环,电子产品,5,475.63,2378.15,微信,北京
ORD000019,2024-05-04,C1054,小米手环,电子产品,2,571.38,1142.76,支付宝,重庆
ORD000020,2024-04-20,C1090,沙发,家居,1,211.92,211.92,货到付款,武汉
ORD000021,2024-03-27,C1027,口红,美妆,1,817.19,817.19,支付宝,深圳
ORD000022,2024-01-20,C1113,统计学,图书,2,1751.48,3502.96,微信,北京
ORD000023,2024-05-03,C1054,MacBook Air,电子产品,120,824.7,98964.0,货到付款,北京
ORD000024,2024-05-22,C1169,床品四件套,家居,4,1399.25,5597.0,货到付款,广州
ORD000025,2024-01-15,C1012,洗面奶,美妆,1,1500.99,1500.99,货到付款,西安
ORD000026,2024-01-18,C1172,坚果礼盒,食品,2,155.67,311.34,支付宝,武汉
ORD000027,2024-06-17,C1149,坚果礼盒,食品,5,182.33,911.65,银行卡,杭州
ORD000028,2024-01-19,C1002,沙发,家居,3,925.3,2775.9,货到付款,重庆
ORD000029,2024-03-30,C1017,运动鞋,服装,3,282.26,846.78,支付宝,成都
ORD000030,2024-05-21,C1076,SQL必知必会,图书,5,35.49,177.45,微信,广州
ORD000031,2024-03-28,C1052,羽绒服,服装,3,1217.56,3652.68,银行卡,西安
ORD000032,2024-03-26,C1197,iPad,电子产品,3,107.29,321.87,支付宝,杭州
ORD000033,2024-06-25,C1038,坚果礼盒,食品,1,168.98,168.98,微信,成都
ORD000034,2024-02-23,C1174,深度学习,图书,1,1799.87,1799.87,支付宝,上海
ORD000035,2024-02-15,C1105,进口牛奶,食品,2,1731.92,3463.84,微信,广州
ORD000036,2024-06-28,C1027,面膜,美妆,3,335.21,1005.63,货到付款,北京
ORD000037,2024-02-28,C1057,床品四件套,家居,3,1644.66,4933.98,微信,深圳
ORD000038,2024-05-17,C1084,深度学习,图书,5,811.36,4056.8,微信,上海
ORD000039,2024-03-29,C1186,Python数据分析,图书,1,1201.21,1201.21,银行卡,武汉
ORD000040,2024-04-21,C1000,进口牛奶,食品,3,107.89,323.67,支付宝,成都
ORD000041,2024-03-17,C1129,巧克力,食品,1,1445.11,1445.11,银行卡,武汉
ORD000042,2024-02-14,C1157,连衣裙,服装,4,1361.09,,银行卡,武汉
ORD000043,2024-04-29,C1113,加湿器,家居,5,1316.32,6581.6,货到付款,深圳
ORD000044,2024-06-18,C1162,面膜,美妆,1,581.9,581.9,银行卡,上海
ORD000045,2024-03-03,C1121,牛仔裤,服装,2,68.36,136.72,微信,南京
ORD000046,2024-02-07,C1167,香水,美妆,4,811.31,3245.24,微信,上海
ORD000047,2024-03-04,C1031,洗面奶,美妆,4,119.43,477.72,货到付款,广州
ORD000048,2024-05-09,C1109,巧克力,食品,4,1233.05,4932.2,货到付款,广州
ORD000049,2024-03-02,C1070,羽绒服,服装,5,979.5,4897.5,货到付款,上海
ORD000050,2024-04-08,C1177,坚果礼盒,食品,2,318.64,637.28,支付宝,深圳
ORD000051,2024-04-09,C1197,台灯,家居,2,1669.12,,微信,重庆
ORD000052,2024-05-19,C1154,收纳箱,家居,5,1500.08,7500.4,支付宝,南京
ORD000053,2024-02-02,C1159,统计学,图书,2,1684.2,3368.4,微信,武汉
ORD000054,2024-03-07,C1097,沙发,家居,4,379.82,1519.28,银行卡,深圳
ORD000055,2024-04-30,C1004,统计学,图书,3,1673.12,5019.36,微信,成都
ORD000056,2024-01-06,C1159,iPhone 15,电子产品,2,414.73,829.46,支付宝,深圳
ORD000057,2024-02-12,C1155,连衣裙,服装,3,1538.46,4615.38,微信,广州
ORD000058,2024-02-20,C1019,SQL必知必会,图书,4,805.38,3221.52,支付宝,上海
ORD000059,2024-04-19,C1169,小米手环,电子产品,1,707.46,707.46,银行卡,上海
ORD000060,2024-06-11,C1117,台灯,家居,4,1922.36,7689.44,支付宝,武汉
ORD000061,2024-05-31,C1068,茶叶,食品,4,940.45,3761.8,银行卡,深圳
ORD000062,2024-04-07,C1086,连衣裙,服装,5,1228.46,6142.3,微信,南京
ORD000063,2024-06-28,C1070,深度学习,图书,3,1763.03,5289.09,微信,西安
ORD000064,2024-06-14,C1182,加湿器,家居,2,1387.41,2774.82,货到付款,南京
ORD000065,2024-04-04,C1121,面膜,美妆,3,1334.64,4003.92,银行卡,武汉
ORD000066,2024-01-31,C1184,床品四件套,家居,3,517.78,1553.34,支付宝,成都
ORD000067,2024-03-11,C1185,牛仔裤,服装,2,1482.44,2964.88,银行卡,上海
ORD000068,2024-01-12,C1013,Python数据分析,图书,5,270.63,1353.15,银行卡,广州
ORD000069,2024-04-22,C1087,小米手环,电子产品,3,949.41,2848.23,支付宝,北京
ORD000070,2024-06-10,C1175,iPad,电子产品,4,166.68,666.72,微信,广州
ORD000071,2024-06-04,C1152,T恤,服装,5,1533.6,7668.0,支付宝,西安
ORD000072,2024-01-16,C1156,咖啡豆,食品,3,1145.89,3437.67,微信,深圳
ORD000073,2024-01-01,C1104,牛仔裤,服装,5,168.63,843.15,货到付款,重庆
ORD000074,2024-03-08,C1160,统计学,图书,1,1381.02,1381.02,支付宝,武汉
ORD000075,2024-03-19,C1152,机器学习实战,图书,1,138.08,138.08,银行卡,南京
ORD000076,2024-01-21,C1153,SQL必知必会,图书,5,997.71,4988.55,微信,武汉
ORD000077,2024-06-21,C1068,运动鞋,服装,5,1902.56,9512.8,微信,广州
ORD000078,2024-05-05,C1023,运动鞋,服装,4,1276.87,5107.48,货到付款,成都
ORD000079,2024-03-14,C1169,羽绒服,服装,,1393.47,5573.88,货到付款,西安
ORD000080,2024-01-01,C1168,iPad,电子产品,5,1653.36,8266.8,货到付款,武汉
ORD000081,2024-05-20,C1033,收纳箱,家居,1,423.05,423.05,银行卡,南京
ORD000082,2024-03-20,C1141,洗面奶,美妆,2,1425.37,2850.74,微信,西安
ORD000083,2024-02-09,C1127,iPad,电子产品,1,1302.47,1302.47,银行卡,西安
ORD000084,2024-04-08,C1048,沙发,家居,4,1111.5,4446.0,支付宝,上海
ORD000085,2024-03-17,C1150,巧克力,食品,1,580.02,580.02,货到付款,广州
ORD000086,2024-02-18,C1178,咖啡豆,食品,4,1867.05,7468.2,支付宝,重庆
ORD000087,2024-06-18,C1166,统计学,图书,4,784.44,3137.76,支付宝,南京
ORD000088,2024-04-26,C1003,Python数据分析,图书,4,217.43,869.72,支付宝,武汉
ORD000089,2024-06-15,C1020,深度学习,图书,5,1391.56,6957.8,银行卡,西安
ORD000090,2024-03-01,C1161,加湿器,家居,1,1242.57,1242.57,银行卡,深圳
ORD000091,2024-03-17,C1007,口红,美妆,195,349.4,68133.0,微信,成都
