日期,销售额,订单数,客单价,类别,渠道
2024-01-01,10502.77,80,131.28,电子产品,线上
2024-01-01,14951.93,148,101.03,电子产品,线下
2024-01-01,6310.54,35,180.3,电子产品,小程序
2024-01-01,10509.51,119,88.32,电子产品,APP
2024-01-01,13684.83,27,506.85,服装,线上
2024-01-01,14329.64,91,157.47,服装,线下
2024-01-01,5706.99,107,53.34,服装,小程序
2024-01-01,13766.1,55,250.29,服装,APP
2024-01-01,4053.54,117,34.65,图书,线上
2024-01-01,9248.61,78,118.57,图书,线下
2024-01-01,8008.0,59,135.73,图书,小程序
2024-01-01,8117.58,99,82.0,图书,APP
2024-01-01,13916.82,104,133.82,家居,线上
2024-01-01,8390.03,53,158.3,家居,线下
2024-01-01,5481.09,55,99.66,家居,小程序
2024-01-01,9972.37,71,140.46,家居,APP
2024-01-01,13351.05,99,134.86,食品,线上
2024-01-01,11262.39,54,208.56,食品,线下
2024-01-01,8160.77,57,143.17,食品,小程序
2024-01-01,10874.78,60,181.25,食品,APP
2024-01-01,6809.95,50,136.2,美妆,线上
2024-01-01,5209.62,57,91.4,美妆,线下
2024-01-01,11724.95,101,116.09,美妆,小程序
2024-01-01,13561.58,125,108.49,美妆,APP
2024-01-02,14604.68,97,150.56,电子产品,线上
2024-01-02,8356.29,90,92.85,电子产品,线下
2024-01-02,4846.82,68,71.28,电子产品,小程序
2024-01-02,4301.97,67,64.21,电子产品,APP
2024-01-02,3330.41,88,37.85,服装,线上
2024-01-02,10316.93,79,130.59,服装,线下
2024-01-02,10205.47,79,129.18,服装,小程序
2024-01-02,11302.96,111,101.83,服装,APP
2024-01-02,3972.83,142,27.98,图书,线上
2024-01-02,4631.34,140,33.08,图书,线下
2024-01-02,11600.08,115,100.87,图书,小程序
2024-01-02,5232.91,119,43.97,图书,APP
2024-01-02,8940.4,55,162.55,家居,线上
2024-01-02,4989.46,77,64.8,家居,线下
2024-01-02,3403.14,23,147.96,家居,小程序
2024-01-02,14173.47,125,113.39,家居,APP
2024-01-02,5698.09,71,80.25,食品,线上
2024-01-02,12151.83,36,337.55,食品,线下
2024-01-02,5149.73,132,39.01,食品,小程序
2024-01-02,13470.41,145,92.9,食品,APP
2024-01-02,11308.8,137,82.55,美妆,线上
2024-01-02,13717.09,129,106.33,美妆,线下
2024-01-02,7896.42,30,263.21,美妆,小程序
2024-01-02,10344.97,117,88.42,美妆,APP
2024-01-03,11755.19,120,97.96,电子产品,线上
2024-01-03,10438.2,29,359.94,电子产品,线下
2024-01-03,9337.37,135,69.17,电子产品,小程序
2024-01-03,8564.98,30,285.5,电子产品,APP
2024-01-03,13664.45,82,166.64,服装,线上
2024-01-03,9313.79,121,76.97,服装,线下
2024-01-03,14949.39,30,498.31,服装,小程序
2024-01-03,9786.3,32,305.82,服装,APP
2024-01-03,5329.33,132,40.37,图书,线上
2024-01-03,7851.81,97,80.95,图书,线下
2024-01-03,12403.12,93,133.37,图书,小程序
2024-01-03,8618.85,128,67.33,图书,APP
2024-01-03,6596.32,33,199.89,家居,线上
2024-01-03,11388.7,56,203.37,家居,线下
2024-01-03,8645.89,135,64.04,家居,小程序
2024-01-03,4124.86,148,27.87,家居,APP
2024-01-03,4400.27,54,81.49,食品,线上
2024-01-03,7791.55,102,76.39,食品,线下
2024-01-03,8492.1,65,130.65,食品,小程序
2024-01-03,8525.96,71,120.08,食品,APP
2024-01-03,13722.23,43,319.12,美妆,线上
2024-01-03,6059.12,61,99.33,美妆,线下
2024-01-03,11733.06,51,230.06,美妆,小程序
2024-01-03,4133.95,135,30.62,美妆,APP
2024-01-04,10763.18,41,262.52,电子产品,线上
2024-01-04,9420.87,118,79.84,电子产品,线下
2024-01-04,11892.99,150,79.29,电子产品,小程序
2024-01-04,10495.34,60,174.92,电子产品,APP
2024-01-04,7653.87,117,65.42,服装,线上
2024-01-04,3578.17,63,56.8,服装,线下
2024-01-04,14149.89,58,243.96,服装,小程序
2024-01-04,5017.42,57,88.02,服装,APP
2024-01-04,5221.26,33,158.22,图书,线上
2024-01-04,8151.85,99,82.34,图书,线下
2024-01-04,11933.02,134,89.05,图书,小程序
2024-01-04,6559.41,66,99.38,图书,APP
2024-01-04,4474.8,53,84.43,家居,线上
2024-01-04,14736.48,20,736.82,家居,线下
2024-01-04,10623.02,84,126.46,家居,小程序
2024-01-04,3192.26,147,21.72,家居,APP
2024-01-04,13457.87,21,640.85,食品,线上
2024-01-04,10445.56,146,71.54,食品,线下
2024-01-04,5939.69,141,42.13,食品,小程序
2024-01-04,8567.69,133,64.42,食品,APP
2024-01-04,4010.35,21,190.97,美妆,线上
2024-01-04,6022.91,91,66.19,美妆,线下
2024-01-04,10589.0,73,145.05,美妆,小程序
2024-01-04,3639.2,57,63.85,美妆,APP
2024-01-05,3731.83,109,34.24,电子产品,线上
2024-01-05,3507.45,28,125.27,电子产品,线下
2024-01-05,11217.58,96,116.85,电子产品,小程序
2024-01-05,7108.71,42,169.25,电子产品,APP
2024-01-05,3658.04,126,29.03,服装,线上
2024-01-05,15214.56,61,249.42,服装,线下
2024-01-05,11279.9,65,173.54,服装,小程序
2024-01-05,14878.87,112,132.85,服装,APP
