日期,历史销售额,节日标记,促销标记
2023-01-01,6790.47,0,0
2023-01-02,7472.8,0,0
2023-01-03,10847.57,1,0
2023-01-04,7343.54,0,0
2023-01-05,6754.47,0,0
2023-01-06,6971.66,0,0
2023-01-07,7324.0,0,0
2023-01-08,6866.8,0,0
2023-01-09,11065.62,1,0
2023-01-10,7411.17,0,0
2023-01-11,7642.61,0,0
2023-01-12,7092.01,0,0
2023-01-13,7229.44,0,0
2023-01-14,9432.23,0,1
2023-01-15,7966.28,0,0
2023-01-16,7130.6,0,0
2023-01-17,7752.58,0,0
2023-01-18,7192.71,0,0
2023-01-19,7163.33,0,0
2023-01-20,10015.07,0,1
2023-01-21,7641.92,0,0
2023-01-22,8072.86,0,0
2023-01-23,7564.21,0,0
2023-01-24,11501.7,1,0
2023-01-25,7637.83,0,0
2023-01-26,7460.08,0,0
2023-01-27,7675.0,0,0
2023-01-28,7815.95,0,0
2023-01-29,7951.76,0,0
2023-01-30,7649.88,0,0
2023-01-31,6782.81,0,0
2023-02-01,7273.49,0,0
2023-02-02,7294.47,0,0
2023-02-03,6885.77,0,0
2023-02-04,7584.69,0,0
2023-02-05,9968.86,0,1
2023-02-06,6953.03,0,0
2023-02-07,7832.79,0,0
2023-02-08,7057.47,0,0
2023-02-09,7353.96,0,0
2023-02-10,7381.85,0,0
2023-02-11,7934.92,0,0
2023-02-12,10687.7,1,0
2023-02-13,7797.72,0,0
2023-02-14,7173.04,0,0
2023-02-15,8078.92,0,0
2023-02-16,7230.25,0,0
2023-02-17,7712.74,0,0
2023-02-18,7868.33,0,0
2023-02-19,8071.67,0,0
2023-02-20,8109.12,0,0
2023-02-21,8210.62,0,0
2023-02-22,8099.31,0,0
2023-02-23,7575.69,0,0
2023-02-24,10087.81,0,1
2023-02-25,7903.51,0,0
2023-02-26,7777.52,0,0
2023-02-27,8166.22,0,0
2023-02-28,7885.79,0,0
2023-03-01,7977.94,0,0
2023-03-02,7320.54,0,0
2023-03-03,8924.17,0,1
2023-03-04,7178.73,0,0
2023-03-05,7022.58,0,0
2023-03-06,6891.98,0,0
2023-03-07,7752.43,0,0
2023-03-08,7507.68,0,0
2023-03-09,7650.19,0,0
2023-03-10,7713.06,0,0
2023-03-11,7583.33,0,0
2023-03-12,7292.28,0,0
2023-03-13,10127.19,0,1
2023-03-14,7562.22,0,0
2023-03-15,7963.88,0,0
2023-03-16,7329.09,0,0
2023-03-17,7282.95,0,0
2023-03-18,7679.81,0,0
2023-03-19,10757.78,0,1
2023-03-20,7604.87,0,0
2023-03-21,8112.62,0,0
2023-03-22,8352.77,0,0
2023-03-23,7659.35,0,0
2023-03-24,7896.75,0,0
2023-03-25,8331.89,0,0
2023-03-26,7596.04,0,0
2023-03-27,8585.71,0,0
2023-03-28,11947.55,1,0
2023-03-29,8309.61,0,0
2023-03-30,8376.11,0,0
2023-03-31,8149.76,0,0
2023-04-01,7461.84,0,0
2023-04-02,6841.99,0,0
2023-04-03,7733.81,0,0
2023-04-04,6956.83,0,0
2023-04-05,6982.86,0,0
2023-04-06,9122.75,0,1
2023-04-07,7168.06,0,0
2023-04-08,7634.35,0,0
2023-04-09,7641.93,0,0
2023-04-10,7838.98,0,0
2023-04-11,7669.93,0,0
2023-04-12,7779.58,0,0
2023-04-13,7299.67,0,0
2023-04-14,8197.99,0,0
2023-04-15,7756.9,0,0
2023-04-16,8284.04,0,0
2023-04-17,7630.41,0,0
2023-04-18,8258.47,0,0
2023-04-19,8242.52,0,0
2023-04-20,8320.01,0,0
2023-04-21,7549.1,0,0
2023-04-22,7926.66,0,0
2023-04-23,7628.22,0,0
2023-04-24,8035.01,0,0
2023-04-25,8113.98,0,0
2023-04-26,8473.04,0,0
2023-04-27,7963.0,0,0
2023-04-28,8244.8,0,0
2023-04-29,8283.8,0,0
2023-04-30,8281.86,0,0
2023-05-01,6885.77,0,0
2023-05-02,10347.7,1,0
2023-05-03,11602.3,1,0
2023-05-04,7208.33,0,0
2023-05-05,7410.35,0,0
2023-05-06,7618.47,0,0
2023-05-07,7612.77,0,0
2023-05-08,9769.35,0,1
2023-05-09,8030.72,0,0
2023-05-10,7786.22,0,0
2023-05-11,7512.26,0,0
2023-05-12,7658.35,0,0
2023-05-13,7437.31,0,0
2023-05-14,8022.15,0,0
2023-05-15,7473.32,0,0
2023-05-16,8196.61,0,0
2023-05-17,7822.9,0,0
2023-05-18,8127.36,0,0
2023-05-19,8235.03,0,0
