订单号,商品1,商品2,商品3,商品4,商品5
TXN00001,巧克力,坚果,,,
TXN00002,咖啡,啤酒,肉类,牛奶,
TXN00003,啤酒,薯片,饼干,,
TXN00004,牛奶,面包,蔬菜,尿布,
TXN00005,咖啡,巧克力,牛奶,茶叶,可乐
TXN00006,尿布,水果,饼干,薯片,
TXN00007,尿布,鸡蛋,,,
TXN00008,水果,茶叶,牛奶,,
TXN00009,茶叶,尿布,鸡蛋,薯片,咖啡
TXN00010,水果,坚果,肉类,饼干,巧克力
TXN00011,啤酒,咖啡,,,
TXN00012,啤酒,尿布,面包,,
TXN00013,蔬菜,咖啡,,,
TXN00014,牛奶,面包,坚果,啤酒,蔬菜
TXN00015,鸡蛋,水果,饼干,啤酒,面包
TXN00016,蔬菜,薯片,茶叶,可乐,
TXN00017,坚果,肉类,蔬菜,可乐,尿布
TXN00018,啤酒,茶叶,鸡蛋,,
TXN00019,牛奶,坚果,薯片,面包,巧克力
TXN00020,牛奶,面包,肉类,鸡蛋,
TXN00021,面包,咖啡,,,
TXN00022,尿布,面包,可乐,坚果,
TXN00023,牛奶,巧克力,,,
TXN00024,啤酒,尿布,巧克力,饼干,薯片
TXN00025,薯片,鸡蛋,,,
TXN00026,尿布,坚果,鸡蛋,牛奶,啤酒
TXN00027,水果,茶叶,薯片,尿布,坚果
TXN00028,牛奶,蔬菜,薯片,,
TXN00029,咖啡,水果,啤酒,,
TXN00030,可乐,牛奶,,,
TXN00031,牛奶,面包,饼干,蔬菜,鸡蛋
TXN00032,啤酒,尿布,咖啡,肉类,水果
TXN00033,牛奶,面包,薯片,坚果,巧克力
TXN00034,肉类,鸡蛋,牛奶,蔬菜,巧克力
TXN00035,面包,巧克力,,,
TXN00036,牛奶,面包,鸡蛋,啤酒,巧克力
TXN00037,巧克力,尿布,,,
TXN00038,蔬菜,薯片,水果,鸡蛋,坚果
TXN00039,牛奶,面包,坚果,薯片,茶叶
TXN00040,面包,尿布,蔬菜,鸡蛋,牛奶
TXN00041,尿布,咖啡,面包,坚果,鸡蛋
TXN00042,蔬菜,可乐,鸡蛋,,
TXN00043,啤酒,尿布,水果,坚果,
TXN00044,肉类,蔬菜,茶叶,饼干,
TXN00045,咖啡,茶叶,饼干,巧克力,鸡蛋
TXN00046,肉类,尿布,啤酒,,
TXN00047,蔬菜,饼干,水果,巧克力,
TXN00048,薯片,饼干,面包,坚果,可乐
TXN00049,坚果,水果,肉类,,
TXN00050,茶叶,坚果,,,
TXN00051,牛奶,面包,肉类,尿布,
TXN00052,啤酒,尿布,牛奶,肉类,坚果
TXN00053,可乐,咖啡,,,
TXN00054,鸡蛋,尿布,坚果,可乐,咖啡
TXN00055,鸡蛋,薯片,尿布,,
TXN00056,可乐,茶叶,蔬菜,,
TXN00057,咖啡,尿布,,,
TXN00058,坚果,面包,,,
TXN00059,面包,咖啡,坚果,,
TXN00060,可乐,尿布,面包,,
TXN00061,可乐,蔬菜,茶叶,牛奶,
TXN00062,鸡蛋,蔬菜,茶叶,啤酒,
TXN00063,饼干,茶叶,尿布,鸡蛋,
TXN00064,巧克力,茶叶,坚果,,
TXN00065,啤酒,尿布,肉类,可乐,咖啡
TXN00066,啤酒,巧克力,蔬菜,牛奶,
TXN00067,咖啡,尿布,饼干,,
TXN00068,牛奶,面包,坚果,咖啡,啤酒
TXN00069,牛奶,面包,咖啡,肉类,
TXN00070,牛奶,面包,可乐,肉类,尿布
TXN00071,巧克力,咖啡,坚果,,
TXN00072,咖啡,尿布,,,
TXN00073,蔬菜,饼干,坚果,鸡蛋,牛奶
TXN00074,茶叶,巧克力,尿布,蔬菜,
TXN00075,肉类,蔬菜,可乐,,
TXN00076,咖啡,茶叶,肉类,,
TXN00077,鸡蛋,水果,饼干,巧克力,
TXN00078,啤酒,尿布,巧克力,茶叶,
TXN00079,啤酒,牛奶,饼干,,
TXN00080,牛奶,鸡蛋,啤酒,,
TXN00081,鸡蛋,尿布,茶叶,,
TXN00082,牛奶,面包,啤酒,咖啡,饼干
TXN00083,薯片,面包,,,
TXN00084,啤酒,尿布,薯片,面包,牛奶
TXN00085,薯片,水果,饼干,牛奶,
TXN00086,肉类,咖啡,牛奶,尿布,
TXN00087,牛奶,面包,薯片,可乐,尿布
TXN00088,巧克力,薯片,面包,鸡蛋,
TXN00089,饼干,茶叶,,,
TXN00090,巧克力,咖啡,薯片,,
TXN00091,咖啡,坚果,尿布,,
TXN00092,蔬菜,咖啡,,,
TXN00093,巧克力,茶叶,薯片,坚果,饼干
TXN00094,可乐,茶叶,啤酒,鸡蛋,水果
TXN00095,牛奶,面包,可乐,啤酒,坚果
TXN00096,肉类,坚果,,,
TXN00097,啤酒,薯片,鸡蛋,牛奶,咖啡
TXN00098,牛奶,尿布,鸡蛋,坚果,
TXN00099,水果,茶叶,薯片,肉类,咖啡
TXN00100,尿布,啤酒,,,
TXN00101,啤酒,尿布,牛奶,面包,水果
TXN00102,啤酒,尿布,牛奶,面包,茶叶
TXN00103,蔬菜,鸡蛋,饼干,,
TXN00104,水果,蔬菜,,,
TXN00105,肉类,面包,可乐,啤酒,水果
TXN00106,咖啡,水果,坚果,薯片,面包
TXN00107,牛奶,面包,坚果,蔬菜,薯片
TXN00108,可乐,茶叶,水果,巧克力,
TXN00109,水果,牛奶,巧克力,,
TXN00110,鸡蛋,巧克力,牛奶,咖啡,肉类
TXN00111,饼干,鸡蛋,肉类,啤酒,
TXN00112,牛奶,饼干,水果,啤酒,
TXN00113,牛奶,面包,水果,啤酒,
TXN00114,坚果,水果,茶叶,蔬菜,咖啡
TXN00115,肉类,尿布,,,
TXN00116,可乐,饼干,面包,,
TXN00117,可乐,坚果,,,
TXN00118,啤酒,尿布,薯片,面包,水果
TXN00119,薯片,可乐,牛奶,坚果,
TXN00120,牛奶,面包,啤酒,尿布,坚果
TXN00121,牛奶,面包,啤酒,蔬菜,鸡蛋
TXN00122,可乐,薯片,茶叶,啤酒,
TXN00123,饼干,茶叶,啤酒,牛奶,肉类
TXN00124,牛奶,面包,蔬菜,茶叶,鸡蛋
TXN00125,啤酒,尿布,肉类,鸡蛋,牛奶
TXN00126,啤酒,尿布,牛奶,面包,巧克力
TXN00127,尿布,蔬菜,牛奶,水果,
TXN00128,蔬菜,巧克力,饼干,,
TXN00129,鸡蛋,尿布,可乐,面包,茶叶
TXN00130,啤酒,尿布,牛奶,面包,水果
TXN00131,尿布,啤酒,,,
TXN00132,牛奶,饼干,咖啡,,
TXN00133,蔬菜,坚果,肉类,可乐,薯片
TXN00134,鸡蛋,水果,蔬菜,饼干,啤酒
TXN00135,鸡蛋,坚果,薯片,巧克力,饼干
TXN00136,啤酒,尿布,牛奶,面包,鸡蛋
TXN00137,坚果,尿布,牛奶,,
TXN00138,牛奶,面包,巧克力,坚果,鸡蛋
TXN00139,牛奶,面包,巧克力,尿布,
TXN00140,啤酒,尿布,茶叶,巧克力,水果
TXN00141,可乐,坚果,,,
TXN00142,巧克力,鸡蛋,,,
TXN00143,茶叶,尿布,饼干,肉类,
TXN00144,牛奶,面包,茶叶,啤酒,可乐
TXN00145,巧克力,水果,茶叶,尿布,
TXN00146,鸡蛋,茶叶,尿布,,
TXN00147,啤酒,尿布,咖啡,面包,坚果
TXN00148,啤酒,尿布,牛奶,面包,茶叶
TXN00149,可乐,肉类,坚果,,
TXN00150,茶叶,面包,蔬菜,啤酒,
TXN00151,面包,牛奶,尿布,饼干,坚果
TXN00152,巧克力,面包,,,
TXN00153,咖啡,薯片,可乐,,
TXN00154,坚果,尿布,咖啡,,
TXN00155,啤酒,尿布,面包,牛奶,
TXN00156,牛奶,面包,啤酒,茶叶,
TXN00157,尿布,牛奶,,,
TXN00158,咖啡,坚果,,,
TXN00159,啤酒,尿布,饼干,巧克力,
TXN00160,饼干,牛奶,水果,薯片,
TXN00161,茶叶,牛奶,坚果,可乐,
TXN00162,牛奶,面包,水果,啤酒,巧克力
TXN00163,茶叶,可乐,尿布,薯片,
TXN00164,饼干,薯片,肉类,,
TXN00165,饼干,咖啡,,,
TXN00166,尿布,坚果,蔬菜,肉类,茶叶
TXN00167,牛奶,面包,蔬菜,啤酒,茶叶
TXN00168,啤酒,尿布,面包,鸡蛋,肉类
TXN00169,牛奶,啤酒,鸡蛋,可乐,饼干
TXN00170,薯片,饼干,,,
TXN00171,啤酒,尿布,牛奶,面包,肉类
TXN00172,肉类,薯片,尿布,可乐,面包
TXN00173,牛奶,面包,可乐,尿布,
TXN00174,水果,可乐,饼干,蔬菜,
TXN00175,水果,尿布,坚果,面包,
TXN00176,啤酒,尿布,牛奶,面包,可乐
TXN00177,茶叶,饼干,牛奶,面包,巧克力
TXN00178,肉类,饼干,薯片,,
TXN00179,茶叶,啤酒,牛奶,,
TXN00180,饼干,面包,,,
TXN00181,牛奶,尿布,,,
TXN00182,尿布,坚果,,,
TXN00183,薯片,巧克力,蔬菜,可乐,
TXN00184,肉类,坚果,水果,,
TXN00185,咖啡,薯片,巧克力,鸡蛋,啤酒
TXN00186,巧克力,啤酒,,,
TXN00187,牛奶,面包,坚果,茶叶,
TXN00188,可乐,肉类,坚果,,
TXN00189,咖啡,面包,坚果,蔬菜,饼干
TXN00190,饼干,啤酒,,,
TXN00191,咖啡,鸡蛋,尿布,水果,饼干
TXN00192,茶叶,咖啡,坚果,,
TXN00193,巧克力,薯片,肉类,啤酒,蔬菜
TXN00194,水果,饼干,肉类,面包,尿布
TXN00195,尿布,蔬菜,啤酒,,
TXN00196,坚果,蔬菜,可乐,饼干,牛奶
TXN00197,饼干,巧克力,,,
TXN00198,面包,咖啡,坚果,,
TXN00199,咖啡,茶叶,蔬菜,水果,巧克力
TXN00200,可乐,尿布,坚果,啤酒,
