客户ID,注册日期,地区,年龄,性别,消费金额,订单数,上次购买,流失标记
C001,2024-01-15,华北,28,男,12500,12,2024-12-20,0
C002,2024-02-20,华东,35,女,28000,25,2024-12-18,0
C003,2024-03-10,华南,42,男,8500,8,2024-11-05,1
C004,2024-01-05,华北,25,女,15600,15,2024-12-15,0
C005,2024-04-18,华东,31,男,32000,30,2024-12-25,0
C006,2024-05-22,华南,29,女,9800,10,2024-10-20,1
C007,2024-02-10,华北,38,男,18900,18,2024-12-10,0
C008,2024-06-08,华东,26,女,14500,14,2024-12-12,0
C009,2024-07-15,华南,45,男,6200,6,2024-09-15,1
C010,2024-03-25,华北,33,女,22000,22,2024-12-22,0
C011,2024-08-01,华东,27,男,11000,11,2024-12-19,0
C012,2024-09-12,华南,40,女,7800,7,2024-11-28,1
C013,2024-04-05,华北,36,男,19500,19,2024-12-21,0
C014,2024-10-20,华东,24,女,8900,9,2024-12-05,0
C015,2024-11-08,华南,39,男,5500,5,2024-10-08,1
C016,2024-05-15,华北,32,女,16800,16,2024-12-16,0
C017,2024-06-28,华东,43,男,21000,21,2024-12-23,0
C018,2024-07-30,华南,28,女,9200,9,2024-12-08,0
C019,2024-08-25,华北,37,男,17500,17,2024-12-14,0
C020,2024-09-30,华东,30,女,13200,13,2024-12-17,0
C021,2024-10-15,华南,41,男,6800,6,2024-11-02,1
C022,2024-11-22,华北,29,女,14800,14,2024-12-24,0
C023,2024-12-05,华东,34,男,8100,8,2024-12-11,0
C024,2024-01-28,华南,44,女,5900,5,2024-09-20,1
C025,2024-02-15,华北,31,男,15200,15,2024-12-13,0
C026,2024-03-20,华东,26,女,12000,12,2024-12-20,0
C027,2024-04-28,华南,38,男,7300,7,2024-11-15,1
C028,2024-05-08,华北,35,女,18200,18,2024-12-18,0
C029,2024-06-18,华东,46,男,4800,4,2024-08-25,1
C030,2024-07-05,华南,30,女,25000,25,2024-12-25,0
