月份,营业收入,营业成本,净利润,毛利率,费用率,现金流
2024-01,5200000,3120000,884000,40,15,450000
2024-02,4800000,2880000,816000,40,14,420000
2024-03,5500000,3300000,935000,40,13,480000
2024-04,5800000,3480000,986000,40,12,520000
2024-05,6200000,3720000,1054000,40,11,560000
2024-06,6500000,3900000,1105000,40,11,580000
2024-07,6800000,4080000,1156000,40,10,620000
2024-08,7200000,4320000,1224000,40,10,650000
2024-09,7500000,4500000,1275000,40,9,680000
2024-10,7800000,4680000,1326000,40,9,720000
2024-11,8200000,4920000,1394000,40,8,750000
2024-12,9000000,5400000,1530000,40,8,850000
