日期,产品,库存水平,销售预测,促销活动,价格,销量,库存天数
2024-01-01,产品A,500,120,0,100,115,4.3
2024-01-02,产品A,385,130,1,95,180,2.1
2024-01-03,产品A,205,110,1,95,120,1.8
2024-01-04,产品A,85,90,0,100,80,1.1
2024-01-05,产品A,5,80,0,100,80,0.1
2024-01-06,产品A,455,100,0,100,50,4.6
2024-01-07,产品A,405,110,0,100,105,3.7
2024-01-08,产品A,300,120,0,100,120,2.5
2024-01-09,产品A,180,100,1,95,130,1.8
2024-01-10,产品A,50,90,1,95,140,0.6
2024-01-01,产品B,800,200,0,150,190,4.2
2024-01-02,产品B,610,220,0,150,210,2.9
2024-01-03,产品B,400,200,1,140,280,1.4
2024-01-04,产品B,120,180,1,140,160,0.7
2024-01-05,产品B,-40,150,1,140,180,-0.3
2024-01-06,产品B,760,180,0,150,60,4.2
2024-01-07,产品B,700,200,0,150,180,3.9
2024-01-08,产品B,520,220,0,150,210,2.4
2024-01-09,产品B,310,200,1,140,240,1.3
2024-01-10,产品B,70,180,1,140,260,0.4
2024-01-01,产品C,300,80,0,80,75,4.0
2024-01-02,产品C,225,90,0,80,95,2.4
2024-01-03,产品C,130,80,0,80,85,1.5
2024-01-04,产品C,45,70,1,75,85,0.6
2024-01-05,产品C,-40,60,1,75,95,-0.7
2024-01-06,产品C,260,70,0,80,50,3.7
2024-01-07,产品C,210,80,0,80,80,2.6
2024-01-08,产品C,130,80,0,80,90,1.6
2024-01-09,产品C,40,70,1,75,95,0.5
2024-01-10,产品C,-55,60,1,75,100,-0.9
2024-01-01,产品D,600,150,0,120,145,4.1
2024-01-02,产品D,455,160,0,120,155,2.8
2024-01-03,产品D,300,150,1,110,175,2.0
2024-01-04,产品D,125,140,1,110,185,0.9
2024-01-05,产品D,-60,120,1,110,200,-0.5
2024-01-06,产品D,540,140,0,120,80,3.9
2024-01-07,产品D,460,150,0,120,150,3.1
2024-01-08,产品D,310,160,0,120,170,1.9
2024-01-09,产品D,140,140,1,110,180,1.0
2024-01-10,产品D,-40,130,1,110,190,-0.3
