订单ID,日期,产品,类别,地区,数量,单价,金额,客户ID
ORD001,2024-01-05,手机,电子产品,华北,120,3999,479880,C001
ORD002,2024-01-06,笔记本电脑,电子产品,华东,85,5999,509915,C002
ORD003,2024-01-07,T恤,服装,华南,200,99,19800,C003
ORD004,2024-01-08,耳机,电子产品,华北,150,299,44850,C004
ORD005,2024-01-09,运动鞋,服装,华东,180,299,53820,C005
ORD006,2024-01-10,平板,电子产品,华南,60,2999,179940,C006
ORD007,2024-01-11,牛仔裤,服装,华北,130,199,25870,C007
ORD008,2024-01-12,智能手表,电子产品,华东,45,1299,58455,C008
ORD009,2024-01-13,毛衣,服装,华南,95,159,15105,C009
ORD010,2024-01-14,键盘,电子产品,华北,200,49,9800,C010
ORD011,2024-01-15,显示器,电子产品,华东,35,1599,55965,C011
ORD012,2024-01-16,外套,服装,华南,80,399,31920,C012
ORD013,2024-01-17,鼠标,电子产品,华北,250,29,7250,C013
ORD014,2024-01-18,羽绒服,服装,华东,55,499,27445,C014
ORD015,2024-01-19,路由器,电子产品,华南,70,199,13930,C015
ORD016,2024-01-20,袜子,服装,华北,300,19,5700,C016
ORD017,2024-01-21,音箱,电子产品,华东,90,199,17910,C017
ORD018,2024-01-22,衬衫,服装,华南,140,129,18060,C018
ORD019,2024-01-23,打印机,电子产品,华北,25,899,22475,C019
ORD020,2024-01-24,裙子,服装,华东,110,179,19690,C020
ORD021,2024-02-01,手机,电子产品,华北,135,3899,526365,C001
ORD022,2024-02-02,笔记本电脑,电子产品,华东,90,5899,530910,C002
ORD023,2024-02-03,T恤,服装,华南,220,99,21780,C003
ORD024,2024-02-04,耳机,电子产品,华北,165,299,49335,C004
ORD025,2024-02-05,运动鞋,服装,华东,195,299,58305,C005
ORD026,2024-02-06,平板,电子产品,华南,65,2899,188435,C006
ORD027,2024-02-07,牛仔裤,服装,华北,145,199,28855,C007
ORD028,2024-02-08,智能手表,电子产品,华东,50,1299,64950,C008
ORD029,2024-02-09,毛衣,服装,华南,110,159,17490,C009
ORD030,2024-02-10,键盘,电子产品,华北,220,49,10780,C010
ORD031,2024-02-11,显示器,电子产品,华东,40,1599,63960,C011
ORD032,2024-02-12,外套,服装,华南,90,399,35910,C012
ORD033,2024-02-13,鼠标,电子产品,华北,275,29,8000,C013
ORD034,2024-02-14,羽绒服,服装,华东,60,499,29940,C014
ORD035,2024-02-15,路由器,电子产品,华南,75,199,14925,C015
ORD036,2024-02-16,袜子,服装,华北,320,19,6080,C016
ORD037,2024-02-17,音箱,电子产品,华东,95,199,18905,C017
ORD038,2024-02-18,衬衫,服装,华南,150,129,19350,C018
ORD039,2024-02-19,打印机,电子产品,华北,30,899,26970,C019
ORD040,2024-02-20,裙子,服装,华东,120,179,21480,C020
ORD041,2024-03-01,手机,电子产品,华北,150,3799,569850,C001
ORD042,2024-03-02,笔记本电脑,电子产品,华东,95,5799,550905,C002
ORD043,2024-03-03,T恤,服装,华南,240,99,23760,C003
ORD044,2024-03-04,耳机,电子产品,华北,180,299,53820,C004
ORD045,2024-03-05,运动鞋,服装,华东,210,299,62790,C005
ORD046,2024-03-06,平板,电子产品,华南,70,2799,195930,C006
ORD047,2024-03-07,牛仔裤,服装,华北,160,199,31840,C007
ORD048,2024-03-08,智能手表,电子产品,华东,55,1299,71445,C008
ORD049,2024-03-09,毛衣,服装,华南,125,159,19875,C009
ORD050,2024-03-10,键盘,电子产品,华北,240,49,11760,C010
